Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,Sum,iterations,lbs,novel,unique,usage,ave_length
0.7971796782920221,0.6233254459639147,0.45370834452141,0.3120035240333931,0.24000721740587355,0.5945331762978104,0.4130916429351964,1.5596355606722736,1,5,0.46923076923076923,0.5026755852842809,341,5.971571906354515
0.8156248909644468,0.6706257540646786,0.5211463829223468,0.390006259683506,0.2729669751855526,0.6133894616350603,0.48090674692228536,1.7572694434264042,2,5,0.42675585284280937,0.5090301003344482,420,6.62742474916388
0.8143305716469114,0.6781140147373411,0.5389230210920136,0.41195300084756176,0.28119653333101,0.6189201765634188,0.49706603551601364,1.8091357462580044,3,5,0.348494983277592,0.4391304347826087,429,6.7150501672240805
0.8134168021326673,0.676627094957285,0.5397667919427207,0.4147374312999731,0.2833120605598934,0.619799978128076,0.5020883127292988,1.8199377827172414,4,5,0.31438127090301005,0.40869565217391307,420,6.757190635451505
0.8090848884957382,0.6785343877634733,0.5460036684164054,0.4232111296438048,0.28496950000271143,0.6197867103995894,0.5077258311829613,1.835693171229067,5,5,0.2682274247491639,0.3588628762541806,399,6.67257525083612
0.8074777749527084,0.6768730662069368,0.5454073138819482,0.42354989484177863,0.2850148559723264,0.619881908031019,0.507720130715771,1.836166789560895,6,5,0.26053511705685617,0.35083612040133777,394,6.68561872909699
0.8081126556213363,0.6781893673725292,0.5467277912128626,0.4240552443477995,0.28556761689977406,0.6196155143365126,0.5089157999001723,1.8381541754842585,7,5,0.26053511705685617,0.35183946488294315,399,6.7324414715719065
0.8076702252465717,0.6781475300594421,0.5465552343515203,0.42421518690302135,0.285188030864608,0.6190215402316175,0.5078255567239307,1.8362503147231775,8,5,0.2525083612040134,0.34448160535117056,396,6.728428093645485
0.807877095038068,0.6782116094511342,0.5467262529967871,0.42454335089930156,0.2848535090595476,0.6188152543456711,0.5071380846477217,1.8353501989522418,9,5,0.2508361204013378,0.34180602006688965,395,6.713377926421405
0.8086837263895718,0.6779688185728966,0.5453587109718269,0.422900175903718,0.2850176176064341,0.619117026348777,0.5078530780989643,1.8348878979578933,10,5,0.25317725752508363,0.3468227424749164,399,6.7558528428093645
