Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,Sum,iterations,lbs,novel,unique,usage,ave_length
0.7899731630414829,0.5819298477661845,0.39678239435196316,0.24935084917398648,0.22719893644961167,0.5783256201884619,0.36270253757154963,1.4175779433836095,1,5,0.4451505016722408,0.4605351170568562,328,6.088628762541806
0.8075182271311623,0.6508435977609063,0.4917639255470005,0.35550488822780574,0.263146784624951,0.6074702749854983,0.44232979192540817,1.6684517397636631,2,5,0.45551839464882943,0.5163879598662208,390,6.488628762541806
0.8060064857653808,0.659165539701292,0.5080694525831586,0.3752199460487471,0.2706403362259369,0.6106960402402495,0.4604391223377547,1.716995444852688,3,5,0.4451505016722408,0.5157190635451505,404,6.625752508361204
0.7988237337187086,0.6539725406881467,0.5042181776855487,0.36959041865041226,0.2706924960421967,0.6078030998123138,0.45408855328485875,1.7021745677897817,4,5,0.40903010033444814,0.4882943143812709,399,6.5715719063545155
0.7977425343646354,0.6606871514023183,0.5213151807374736,0.39134715975729356,0.2753991550168292,0.6104980287268369,0.4720049904214833,1.749249333922443,5,5,0.3511705685618729,0.43444816053511703,409,6.518394648829432
0.792524050359134,0.6587897787740796,0.52267443318574,0.396993236485554,0.27552141077140563,0.6083647206337833,0.4757853243991193,1.756664692289862,6,5,0.3147157190635452,0.4003344481605351,387,6.526421404682274
0.790630290221189,0.6562161347131783,0.519876414410312,0.39129979616338767,0.2737810118026496,0.6044903561156819,0.47144288685578256,1.7410140509375018,7,5,0.3117056856187291,0.3969899665551839,398,6.523076923076923
0.7841274029425599,0.653776956963884,0.521020117721481,0.3946733290139102,0.2725884527653508,0.6040234764839525,0.46884898665328695,1.7401342449165005,8,5,0.29531772575250836,0.3785953177257525,389,6.449163879598662
0.7875575451998285,0.6572375499531192,0.5244912649362318,0.3984220529276191,0.2735318950617888,0.6052004739430985,0.47277602603074237,1.7499304479632487,9,5,0.2956521739130435,0.37892976588628763,393,6.465217391304348
0.7879583525150492,0.6567833947530483,0.5240874887092912,0.399064296026999,0.2747173215931322,0.6051223259933204,0.47498504177382844,1.7538889853872799,10,5,0.2939799331103679,0.374247491638796,393,6.51371237458194
