novel,unique,usage,ave_length,gram4
0.084070796460177,0.2743362831858407,71,6.721238938053097,155
0.189873417721519,0.5949367088607594,70,7.025316455696203,136
0.028368794326241134,0.1276595744680851,37,6.851063829787234,48
0.2191358024691358,0.39197530864197533,121,6.592592592592593,311
0.2773722627737226,0.46715328467153283,62,8.540145985401459,143
0.36486486486486486,0.6351351351351351,65,8.337837837837839,130
0.16883116883116883,0.5324675324675324,60,7.298701298701299,108
0.09302325581395349,0.22591362126245848,72,7.837209302325581,159
0.08196721311475409,0.28688524590163933,56,6.721311475409836,95
0.06147540983606557,0.1762295081967213,67,7.0,134
0.27167630057803466,0.5028901734104047,106,7.91907514450867,203
0.52,0.7066666666666667,74,8.413333333333334,155
0.3669064748201439,0.5755395683453237,87,8.280575539568344,175
0.35294117647058826,0.4823529411764706,78,7.352941176470588,211
0.16374269005847952,0.4152046783625731,72,6.549707602339181,168
0.2978723404255319,0.723404255319149,54,7.574468085106383,93
0.2864864864864865,0.4648648648648649,83,8.432432432432432,216
0.2909090909090909,0.4909090909090909,63,7.109090909090909,139
0.3357664233576642,0.5766423357664233,77,8.394160583941606,209
0.1724137931034483,0.5,47,7.9655172413793105,84
