novel,unique,usage,ave_length,gram4
0.12831858407079647,0.29646017699115046,74,6.15929203539823,166
0.27848101265822783,0.6329113924050633,62,6.417721518987341,120
0.1276595744680851,0.2198581560283688,38,6.843971631205674,80
0.2993827160493827,0.4783950617283951,118,6.484567901234568,350
0.19708029197080293,0.35036496350364965,50,6.474452554744525,85
0.2972972972972973,0.5135135135135135,44,6.648648648648648,91
0.24675324675324675,0.5454545454545454,46,6.6103896103896105,91
0.15946843853820597,0.2857142857142857,75,6.906976744186046,201
0.1721311475409836,0.36065573770491804,57,5.663934426229508,104
0.06967213114754098,0.20901639344262296,49,6.426229508196721,112
0.2774566473988439,0.48554913294797686,96,6.624277456647399,216
0.5866666666666667,0.7466666666666667,59,6.786666666666667,137
0.2446043165467626,0.4244604316546763,67,6.330935251798561,137
0.4,0.5764705882352941,80,6.694117647058824,200
0.28654970760233917,0.4619883040935672,67,6.491228070175438,178
0.3829787234042553,0.723404255319149,52,6.723404255319149,86
0.34054054054054056,0.5027027027027027,74,7.275675675675676,192
0.41818181818181815,0.6181818181818182,54,7.245454545454545,145
0.31386861313868614,0.5036496350364964,65,6.605839416058394,162
0.29310344827586204,0.5344827586206896,34,6.793103448275862,69
0.17699115044247787,0.3274336283185841,75,6.491150442477876,204
0.3037974683544304,0.6582278481012658,60,6.810126582278481,129
0.15602836879432624,0.23404255319148937,44,7.0212765957446805,101
0.3611111111111111,0.5246913580246914,122,6.87037037037037,420
0.26277372262773724,0.41605839416058393,57,6.846715328467154,115
0.32432432432432434,0.5405405405405406,48,6.891891891891892,103
0.2987012987012987,0.6103896103896104,51,6.961038961038961,106
0.19269102990033224,0.30564784053156147,75,7.3754152823920265,234
0.3360655737704918,0.48360655737704916,62,6.270491803278689,155
0.0942622950819672,0.22131147540983606,56,6.55327868852459,136
0.3179190751445087,0.5086705202312138,102,7.08092485549133,254
0.6666666666666666,0.8,70,7.866666666666666,204
0.30935251798561153,0.4676258992805755,74,6.827338129496403,178
0.4470588235294118,0.6,83,7.241176470588235,253
0.3157894736842105,0.49122807017543857,71,6.883040935672515,211
0.5531914893617021,0.8085106382978723,55,7.170212765957447,102
0.42162162162162165,0.5513513513513514,77,7.891891891891892,235
0.4636363636363636,0.6272727272727273,62,7.9818181818181815,181
0.38686131386861317,0.5547445255474452,67,7.065693430656935,182
0.3793103448275862,0.5862068965517241,37,7.293103448275862,86
