novel,unique,usage,ave_length,gram4
0.1504424778761062,0.3495575221238938,89,6.668141592920354,207
0.16455696202531644,0.5949367088607594,65,7.0,130
0.0425531914893617,0.1702127659574468,42,6.914893617021277,66
0.2777777777777778,0.4506172839506173,126,6.947530864197531,357
0.40145985401459855,0.5474452554744526,70,8.459854014598541,170
0.44594594594594594,0.7027027027027027,64,8.256756756756756,132
0.22077922077922077,0.6103896103896104,75,7.7272727272727275,135
0.15614617940199335,0.3089700996677741,97,8.053156146179402,248
0.1885245901639344,0.38524590163934425,68,6.590163934426229,123
0.14754098360655737,0.2827868852459016,72,7.372950819672131,189
0.28901734104046245,0.5028901734104047,107,7.606936416184971,203
0.5866666666666667,0.6933333333333334,72,8.973333333333333,160
0.39568345323741005,0.60431654676259,86,8.172661870503598,183
0.4647058823529412,0.611764705882353,100,7.535294117647059,265
0.17543859649122806,0.49122807017543857,85,6.695906432748538,192
0.44680851063829785,0.8085106382978723,64,7.723404255319149,106
0.2918918918918919,0.4702702702702703,87,8.87027027027027,210
0.36363636363636365,0.6181818181818182,64,7.8545454545454545,168
0.35036496350364965,0.5766423357664233,82,8.27007299270073,206
0.2413793103448276,0.5689655172413793,56,8.0,100
