epoch,train_loss,val_loss
0,0.2043456200418175,0.2898474339268337
1,0.13711365815335003,0.27883977225608747
2,0.13041200850410029,0.2492223239280808
3,0.12709732924063377,0.22558559747169196
4,0.12495244001552437,0.2422090131991826
5,0.1236573399948155,0.22466736147461283
6,0.12265048842289729,0.22254722381021894
7,0.12206200504543667,0.20790200670000533
8,0.12172075893295795,0.17567678521456612
9,0.12117937209624291,0.16988979570822457
10,0.12085004814819095,0.17103265480736132
11,0.12080147582737327,0.21283391657729503
12,0.1207096658117409,0.1744781168293905
13,0.12036728422414428,0.17503812708245436
14,0.12046661959043319,0.17646003474052283
15,0.12031879724010096,0.1946463180739635
16,0.12033090366483302,0.15369428925111261
17,0.12032842765032156,0.18494953077204032
18,0.12025885050694514,0.19321504954840815
19,0.12039615989815854,0.16458692010379652
20,0.12036227743741501,0.17453954121476448
21,0.12043500898021826,0.1504998845113835
22,0.12031640848420869,0.14116657745670264
23,0.1204316825653832,0.15647253574020187
24,0.12050121185825513,0.1511854784529454
25,0.12043075402605173,0.15638680321349943
26,0.1205642934898325,0.14880590683497652
27,0.12063337510382179,0.1768360088168975
28,0.12066622175311742,0.14402349071363568
29,0.12063703696752096,0.16200079755404106
30,0.1205955472637958,0.1721041216336985
31,0.12080004867226338,0.15036328622632822
32,0.1209307436638396,0.14185057079768038
33,0.12091930226148154,0.14499606072183105
34,0.12072721702879921,0.14474408619360665
35,0.1208371270179712,0.1467071947317488
36,0.1208585201549984,0.1517207840498784
37,0.12104024239652043,0.15934295865371673
38,0.1209433380472629,0.15081985630619693
39,0.12090366604726069,0.14114185217280742
40,0.1209689455371966,0.1600020650766745
41,0.12095832512407245,0.15387434486891902
42,0.12109339680610193,0.15128002218317457
43,0.12113417750122946,0.14214553976322802
44,0.12108526909322063,0.1470151775679598
45,0.12095629323303068,0.14765188721583883
46,0.12116576769184301,0.14887523366292
47,0.1210675788592875,0.14209091630380158
48,0.12103742450526027,0.14612742368004453
49,0.12115392156154645,0.1405625599670698
50,0.12108934087612727,0.1448350474987951
51,0.12101686415278964,0.14770724607905153
52,0.12109032456096591,0.1489780485570071
